716383042055614464|2016-04-02 21:53:21|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716345801430155267|2016-04-02 19:25:22|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716331403240218624|2016-04-02 18:28:09|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716328889665110017|2016-04-02 18:18:10|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716326929771565056|2016-04-02 18:10:23|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716317804052422656|2016-04-02 17:34:07|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716315504126746625|2016-04-02 17:24:59|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716315322698047492|2016-04-02 17:24:16|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716314074196344832|2016-04-02 17:19:18|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716313552865329152|2016-04-02 17:17:14|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716313418354008064|2016-04-02 17:16:42|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716312579660972032|2016-04-02 17:13:22|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716312361481728000|2016-04-02 17:12:30|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716311881837715456|2016-04-02 17:10:35|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716311606402150400|2016-04-02 17:09:30|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716310979512901632|2016-04-02 17:07:00|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716310555066298368|2016-04-02 17:05:19|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716310547457712128|2016-04-02 17:05:17|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716310442164031489|2016-04-02 17:04:52|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716310265164341249|2016-04-02 17:04:10|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716309792403427329|2016-04-02 17:02:17|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716309775231881217|2016-04-02 17:02:13|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716309676909002752|2016-04-02 17:01:50|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716309419139735553|2016-04-02 17:00:48|From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/khggdLz2RT|False
716309391117451264|2016-04-02 17:00:41|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716309361405116417|2016-04-02 17:00:34|RT @MTVNews: From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
716309226176405504|2016-04-02 17:00:02|From #Trainwreck to #PitchPerfect, which couple will win Best Kiss at the #MovieAwards?? https://t.co/ignBqiwbwS|False
715498991144689664|2016-03-31 11:20:27|RT @TrainwreckMovie: #Trainwreck has been nominated for 4 MTV Movie Awards, including Best Kiss!
Vote Now: https://t.co/GjmhfiqjbM https://…|False
715332673732943872|2016-03-31 00:19:34|RT @TrainwreckMovie: #Trainwreck has been nominated for 4 MTV Movie Awards, including Best Kiss!
Vote Now: https://t.co/GjmhfiqjbM https://…|False
715330313027620868|2016-03-31 00:10:11|RT @TrainwreckMovie: #Trainwreck has been nominated for 4 MTV Movie Awards, including Best Kiss!
Vote Now: https://t.co/GjmhfiqjbM https://…|False
715282636004917248|2016-03-30 21:00:44|#Trainwreck has been nominated for 4 MTV Movie Awards, including Best Kiss!
Vote Now: https://t.co/GjmhfiqjbM https://t.co/Rs7q9gdjqb|False
715935433931108352|2016-04-01 16:14:43|@MTVNews Best Kiss without a doubt was Jamie Dornan and Dakota Johnson in Fifty Shades of Grey https://t.co/twiO8LXETk|False
716380669123891200|2016-04-02 21:43:55|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
716379193790111745|2016-04-02 21:38:04|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
716043668071837696|2016-04-01 23:24:48|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715966977613959168|2016-04-01 18:20:04|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715946038427836416|2016-04-01 16:56:51|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715877340241391620|2016-04-01 12:23:52|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715875525311467521|2016-04-01 12:16:40|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715802786408046592|2016-04-01 07:27:37|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715749244477509633|2016-04-01 03:54:52|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715693029315575808|2016-04-01 00:11:29|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715691564656365568|2016-04-01 00:05:40|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715690841545785344|2016-04-01 00:02:48|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715669328092332033|2016-03-31 22:37:18|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715662626500378624|2016-03-31 22:10:41|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715658736522670080|2016-03-31 21:55:13|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715656956107747332|2016-03-31 21:48:09|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715656538157809664|2016-03-31 21:46:29|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715643579444629506|2016-03-31 20:55:00|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715611833604788225|2016-03-31 18:48:51|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715608430531198977|2016-03-31 18:35:19|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715608331755368448|2016-03-31 18:34:56|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715605477757952001|2016-03-31 18:23:35|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715605210677161984|2016-03-31 18:22:32|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715590502637113345|2016-03-31 17:24:05|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715575655564505088|2016-03-31 16:25:05|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715569718694907904|2016-03-31 16:01:30|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715566201997549568|2016-03-31 15:47:31|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715565724324859904|2016-03-31 15:45:37|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715558495790178305|2016-03-31 15:16:54|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715542316149317633|2016-03-31 14:12:36|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715536651796279296|2016-03-31 13:50:06|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715529193312948225|2016-03-31 13:20:28|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715529111616241664|2016-03-31 13:20:08|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715527899764420609|2016-03-31 13:15:19|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715527365703647232|2016-03-31 13:13:12|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715527211873394688|2016-03-31 13:12:35|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715526345393115136|2016-03-31 13:09:09|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715525865719930881|2016-03-31 13:07:14|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715521707373686784|2016-03-31 12:50:43|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715515763264733185|2016-03-31 12:27:06|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715510102778732544|2016-03-31 12:04:36|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715496726136750081|2016-03-31 11:11:27|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715494620151439360|2016-03-31 11:03:05|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715479903005593601|2016-03-31 10:04:36|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715478482755530754|2016-03-31 09:58:57|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715477421131104258|2016-03-31 09:54:44|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715477006196977665|2016-03-31 09:53:05|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715462877864267776|2016-03-31 08:56:57|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715461442439393280|2016-03-31 08:51:15|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715448313324167168|2016-03-31 07:59:04|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715406129023426560|2016-03-31 05:11:27|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715404953896890370|2016-03-31 05:06:47|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715390336080609280|2016-03-31 04:08:42|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715377008511823873|2016-03-31 03:15:44|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715367297129582593|2016-03-31 02:37:09|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715366210771103744|2016-03-31 02:32:50|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715356142256451584|2016-03-31 01:52:49|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715355120536461315|2016-03-31 01:48:46|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715351239794434048|2016-03-31 01:33:20|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715346418253361152|2016-03-31 01:14:11|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715346282055864320|2016-03-31 01:13:38|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715341104778973184|2016-03-31 00:53:04|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715335421538881537|2016-03-31 00:30:29|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715333074674970624|2016-03-31 00:21:09|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715332888619794432|2016-03-31 00:20:25|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715332088111751170|2016-03-31 00:17:14|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715331184058888192|2016-03-31 00:13:39|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715330328638791680|2016-03-31 00:10:15|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715326787882979328|2016-03-30 23:56:11|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715307992808165376|2016-03-30 22:41:29|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715306608884977664|2016-03-30 22:35:59|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715305378922278913|2016-03-30 22:31:06|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715296945170997248|2016-03-30 21:57:35|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715276486517899265|2016-03-30 20:36:18|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715276095218708480|2016-03-30 20:34:44|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
715270072160399360|2016-03-30 20:10:48|RT @MTVNews: From #Deadpool to #50Shades, which of these will win the Golden Popcorn for #MovieAwards Best Kiss? https://t.co/q0Fz7M6FMu|False
